gifID,Name,Body Part,Target,Equipment,Secondary Muscles,Instructions,WorkoutType,Difficulty,Intensity
39,barbell front chest squat,upper legs,glutes,barbell,"quadriceps, hamstrings, calves, core","Start by standing with your feet shoulder-width apart, toes slightly turned out.  Hold the barbell in front of your chest with your hands shoulder-width apart, elbows pointing forward.  Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees.  Lower until your thighs are parallel to the ground, or as low as you can comfortably go.  Pause for a moment at the bottom, then push through your heels to return to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
42,barbell front squat,upper legs,glutes,barbell,"quadriceps, hamstrings, calves, core","Start by standing with your feet shoulder-width apart, toes slightly turned out.  Hold the barbell in front of your shoulders, resting it on your collarbone and shoulders.  Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees.  Lower until your thighs are parallel to the ground, or as low as you can comfortably go.  Pause for a moment at the bottom, then push through your heels to return to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
43,barbell full squat,upper legs,glutes,barbell,"quadriceps, hamstrings, calves, core","Stand with your feet shoulder-width apart, toes slightly turned out.  Hold the barbell across your upper back, resting it on your traps or rear delts.  Engage your core and keep your chest up as you begin to lower your body down.  Bend at the knees and hips, pushing your hips back and down as if sitting into a chair.  Lower yourself until your thighs are parallel to the ground or slightly below.  Keep your knees in line with your toes and your weight in your heels.  Drive through your heels to stand back up, extending your hips and knees.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
46,barbell hack squat,upper legs,glutes,barbell,"quadriceps, hamstrings, calves","Start by standing with your feet shoulder-width apart and your toes slightly turned out.  Hold the barbell behind your legs, resting it on your upper thighs.  Lower your body by bending at the knees and hips, keeping your back straight and your chest up.  Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go.  Pause for a moment, then push through your heels to return to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
51,barbell jefferson squat,upper legs,glutes,barbell,"quadriceps, hamstrings, calves","Stand with your feet shoulder-width apart and toes slightly turned out.  Hold the barbell with an overhand grip, resting it on the front of your body, just below your waist.  Step your left foot forward and your right foot back, keeping your feet shoulder-width apart.  Bend your knees and lower your body down into a squat position, keeping your back straight and chest up.  Push through your heels to stand back up to the starting position.  Repeat the movement, alternating your forward and back foot with each repetition.",Strength,Intermediate,0.73
53,barbell jump squat,upper legs,glutes,barbell,"quadriceps, hamstrings, calves","Start by standing with your feet shoulder-width apart, holding a barbell across your upper back.  Lower your body into a squat position by bending your knees and pushing your hips back.  Once you reach the bottom of the squat, explode upwards by jumping off the ground.  As you jump, extend your hips, knees, and ankles, pushing through your toes.  Land softly back into the squat position and immediately repeat the movement for the desired number of repetitions.",Strength,Intermediate,0.73
54,barbell lunge,upper legs,glutes,barbell,"quadriceps, hamstrings, calves","Start by standing with your feet shoulder-width apart and a barbell resting on your upper back.  Take a step forward with your right foot, keeping your torso upright.  Lower your body by bending your right knee until your thigh is parallel to the ground.  Push through your right heel to return to the starting position.  Repeat with your left leg, alternating legs for the desired number of repetitions.",Endurance,Intermediate,0.73
58,barbell lying lifting (on hip),upper legs,glutes,barbell,"hamstrings, quadriceps","Lie flat on your back on a bench with your feet flat on the ground and your knees bent.  Hold the barbell with an overhand grip and position it on your hips.  Engaging your glutes, lift your hips off the bench until your body forms a straight line from your knees to your shoulders.  Pause for a moment at the top, then slowly lower your hips back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.43
16,assisted prone hamstring,upper legs,hamstrings,assisted,"glutes, lower back","Lie face down on a mat or bench with your legs fully extended.  Have a partner or use a resistance band to secure your ankles.  Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight.  Pause for a moment at the top, then slowly lower your legs back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.3
44,barbell good morning,upper legs,hamstrings,barbell,lower back,"Start by standing with your feet shoulder-width apart and the barbell resting on your upper back.  Keeping your back straight and your core engaged, hinge forward at the hips, pushing your buttocks back as if you were trying to touch the wall behind you with your glutes.  Lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings.  Pause for a moment, then return to the starting position by squeezing your glutes and pushing your hips forward.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
116,barbell straight leg deadlift,upper legs,hamstrings,barbell,"glutes, lower back","Stand with your feet shoulder-width apart and your toes pointing forward.  Hold the barbell with an overhand grip, hands slightly wider than shoulder-width apart.  Bend at your hips and lower the barbell towards the ground, keeping your back straight and your knees slightly bent.  Lower the barbell until you feel a stretch in your hamstrings.  Engage your hamstrings and glutes to lift the barbell back up to the starting position.  Repeat for the desired number of repetitions.",Endurance,Intermediate,0.73
339,dumbbell lying femoral,upper legs,hamstrings,dumbbell,glutes,"Lie flat on your back with your legs extended and a dumbbell resting on your lower abdomen.  Bend your knees and bring the dumbbell towards your glutes, keeping your feet flat on the ground.  Pause for a moment at the top, then slowly lower the dumbbell back to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.35
496,inverse leg curl (bench support),upper legs,hamstrings,body weight,"glutes, calves","Lie face down on a bench with your hips at the edge and your legs extended straight behind you.  Hold onto the bench for support.  Keeping your upper body still, bend your knees and curl your legs towards your glutes.  Pause for a moment at the top, then slowly extend your legs back to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.35
535,kettlebell hang clean,upper legs,hamstrings,kettlebell,"glutes, quadriceps, calves","Stand with your feet shoulder-width apart, holding a kettlebell in front of your thighs.  Bend your knees slightly and hinge forward at the hips, keeping your back straight.  Lower the kettlebell towards the ground, allowing it to swing between your legs.  Quickly extend your hips and knees, using the momentum to swing the kettlebell up to shoulder height.  As the kettlebell reaches shoulder height, rotate your wrists and catch the kettlebell in the rack position, with your elbow tucked in and the kettlebell resting on your forearm.  Lower the kettlebell back down to the starting position between your legs, and repeat for the desired number of repetitions.",Strength,Intermediate,0.7
555,kick out sit,upper legs,hamstrings,body weight,"quadriceps, glutes","Sit on the edge of a bench or chair with your feet flat on the ground and your knees bent at a 90-degree angle.  Lean back slightly and place your hands on the edge of the bench or chair for support.  Engaging your hamstrings, lift your feet off the ground and extend your legs straight out in front of you.  Pause for a moment at the top, then slowly bend your knees and bring your feet back towards your body.  Repeat for the desired number of repetitions.",Strength,Beginner,0.35
582,lever kneeling leg curl,upper legs,hamstrings,leverage machine,glutes,"Adjust the machine to fit your body and select the desired weight.  Kneel on the machine facing downwards, with your knees resting on the pad and your feet secured under the footpads.  Grasp the handles or the sides of the machine for stability.  Keeping your upper body stationary, exhale and curl your legs up towards your glutes by flexing your knees.  Pause for a moment at the top of the movement, squeezing your hamstrings.  Inhale and slowly lower your legs back to the starting position, fully extending your knees.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.67
586,lever lying leg curl,upper legs,hamstrings,leverage machine,calves,"Adjust the machine to fit your body and select the desired weight.  Lie face down on the machine with your legs straight and your heels against the padded lever.  Grasp the handles or the sides of the machine for stability.  Keeping your upper body stationary, exhale and curl your legs up as far as possible without lifting your hips off the pad.  Hold the contracted position for a brief pause as you squeeze your hamstrings.  Inhale and slowly lower the lever back to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.37
599,lever seated leg curl,upper legs,hamstrings,leverage machine,calves,"Adjust the machine to fit your body and sit on it with your back against the backrest.  Place your lower legs under the padded lever, just above your ankles.  Grasp the handles on the sides of the machine for support.  Keeping your upper legs stationary, exhale and curl your legs up as far as possible.  Hold the contracted position for a brief pause as you squeeze your hamstrings.  Inhale and slowly lower the lever back to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.37
7,alternate lateral pulldown,back,lats,cable,"biceps, rhomboids","Sit on the cable machine with your back straight and feet flat on the ground.  Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.  Lean back slightly and pull the handles towards your chest, squeezing your shoulder blades together.  Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.67
15,assisted parallel close grip pull-up,back,lats,leverage machine,"biceps, forearms","Adjust the machine to your desired weight and height.  Place your hands on the parallel bars with a close grip, palms facing each other.  Hang from the bars with your arms fully extended and your feet off the ground.  Engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body.  Continue pulling until your chin is above the bars.  Pause for a moment at the top, then slowly lower your body back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.37
17,assisted pull-up,back,lats,leverage machine,"biceps, forearms","Adjust the machine to your desired weight and height settings.  Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.  Hang with your arms fully extended and your feet off the ground.  Engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body.  Continue pulling until your chin is above the handles.  Pause for a moment at the top, then slowly lower your body back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.37
22,barbell pullover to press,back,lats,barbell,"triceps, chest, shoulders","Lie flat on a bench with your head at one end and your feet on the ground.  Hold the barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest.  Keeping your arms straight, lower the barbell behind your head in an arc-like motion until you feel a stretch in your lats.  Pause for a moment, then reverse the motion and press the barbell back to the starting position above your chest.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
34,barbell decline bent arm pullover,back,lats,barbell,"triceps, chest","Lie down on a decline bench with your head lower than your hips and your feet secured.  Hold a barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest.  Lower the barbell behind your head in a controlled manner, keeping your arms slightly bent.  Pause for a moment, then raise the barbell back to the starting position by contracting your lats.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
37,barbell decline wide-grip pullover,back,lats,barbell,"triceps, chest","Lie on a decline bench with your head lower than your hips and your feet secured.  Hold a barbell with a wide grip and extend your arms straight above your chest.  Lower the barbell behind your head in a controlled manner, keeping your arms straight.  Pause for a moment, then raise the barbell back to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
73,barbell pullover,back,lats,barbell,"chest, triceps","Lie flat on a bench with your head at one end and your feet on the floor.  Hold a barbell with a shoulder-width grip and extend your arms straight above your chest.  Keeping your arms straight, lower the barbell behind your head in a controlled manner until you feel a stretch in your lats.  Pause for a moment, then raise the barbell back to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
150,cable bar lateral pulldown,back,lats,cable,"biceps, rhomboids, rear deltoids","Adjust the cable pulley to a high position and attach a straight bar.  Sit facing the cable machine with your feet flat on the ground and your knees slightly bent.  Grasp the bar with an overhand grip, slightly wider than shoulder-width apart.  Lean back slightly and keep your chest up, maintaining a slight arch in your lower back.  Pull the bar down towards your chest, leading with your elbows and squeezing your shoulder blades together.  Pause for a moment at the bottom of the movement, then slowly return the bar to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.67
153,cable cross-over lateral pulldown,back,lats,cable,"biceps, rhomboids, rear deltoids","Attach a cable handle to each side of a cable machine at shoulder height.  Stand in the middle of the machine with your feet shoulder-width apart.  Grasp the handles with an overhand grip and step back to create tension in the cables.  Lean forward slightly from the hips, keeping your back straight and your chest up.  Pull the handles down and across your body, squeezing your shoulder blades together.  Pause for a moment at the bottom of the movement, then slowly return to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.67
172,cable incline pushdown,back,lats,cable,"triceps, shoulders","Attach a straight bar to a high pulley cable machine.  Stand facing away from the machine with your feet shoulder-width apart.  Grasp the bar with an overhand grip, hands slightly wider than shoulder-width apart.  Lean forward slightly and keep your back straight.  Pull the bar down towards your thighs by extending your elbows.  Pause for a moment at the bottom, then slowly return the bar to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.67
716,side push neck stretch,neck,levator scapulae,body weight,"trapezius, sternocleidomastoid","Stand or sit up straight with your shoulders relaxed.  Tilt your head to the right, bringing your right ear towards your right shoulder.  Place your right hand on the left side of your head and gently apply pressure to increase the stretch.  Hold the stretch for 15-30 seconds.  Repeat on the other side, tilting your head to the left and applying pressure with your left hand.  Repeat the stretch 2-3 times on each side.",Flexibility,Beginner,0.2
1403,neck side stretch,neck,levator scapulae,body weight,"trapezius, sternocleidomastoid","Stand or sit up straight with your shoulders relaxed.  Tilt your head to one side, bringing your ear towards your shoulder.  Hold the stretch for 15-30 seconds.  Repeat on the other side.  Perform 2-4 sets on each side.",Flexibility,Beginner,0.2
9,assisted chest dip (kneeling),chest,pectorals,leverage machine,"triceps, shoulders","Adjust the machine to your desired height and secure your knees on the pad.  Grasp the handles with your palms facing down and your arms fully extended.  Lower your body by bending your elbows until your upper arms are parallel to the floor.  Pause for a moment, then push yourself back up to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.37
25,barbell bench press,chest,pectorals,barbell,"triceps, shoulders","Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.  Grasp the barbell with an overhand grip slightly wider than shoulder-width apart.  Lift the barbell off the rack and hold it directly above your chest with your arms fully extended.  Lower the barbell slowly towards your chest, keeping your elbows tucked in.  Pause for a moment when the barbell touches your chest.  Push the barbell back up to the starting position by extending your arms.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
33,barbell decline bench press,chest,pectorals,barbell,"triceps, shoulders","Lie on a decline bench with your feet secured and your head lower than your hips.  Grasp the barbell with an overhand grip slightly wider than shoulder-width apart.  Unrack the barbell and lower it slowly towards your chest, keeping your elbows tucked in.  Pause for a moment at the bottom, then push the barbell back up to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
36,barbell decline wide-grip press,chest,pectorals,barbell,"triceps, shoulders","Lie on a decline bench with your feet secured and your head lower than your hips.  Grasp the barbell with a wide grip, slightly wider than shoulder-width apart.  Lower the barbell to your chest, keeping your elbows out to the sides.  Push the barbell back up to the starting position, fully extending your arms.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
40,barbell front raise and pullover,chest,pectorals,barbell,"deltoids, triceps","Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down.  Keep your arms straight and raise the barbell in front of you until it reaches shoulder height.  Pause for a moment at the top, then slowly lower the barbell back down to the starting position.  Next, lower the barbell behind your head, keeping your arms straight.  Pause for a moment at the bottom, then raise the barbell back up to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
45,barbell guillotine bench press,chest,pectorals,barbell,"shoulders, triceps","Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.  Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.  Lower the barbell slowly towards your neck, keeping your elbows pointed outwards.  Pause for a moment when the barbell is just above your neck.  Push the barbell back up to the starting position, fully extending your arms.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
47,barbell incline bench press,chest,pectorals,barbell,"shoulders, triceps","Set up an incline bench at a 45-degree angle.  Lie down on the bench with your feet flat on the ground.  Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.  Unrack the barbell and lower it slowly towards your chest, keeping your elbows at a 45-degree angle.  Pause for a moment at the bottom, then push the barbell back up to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
122,barbell wide bench press,chest,pectorals,barbell,"shoulders, triceps","Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.  Grasp the barbell with a wide grip, slightly wider than shoulder-width apart.  Lift the barbell off the rack and hold it directly above your chest with your arms fully extended.  Lower the barbell slowly towards your chest, keeping your elbows slightly flared out.  Pause for a moment when the barbell touches your chest, then push it back up to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
151,cable bench press,chest,pectorals,cable,"triceps, shoulders","Adjust the cable machine to chest height and attach the handles.  Stand facing away from the machine with your feet shoulder-width apart.  Grasp the handles with an overhand grip and step forward to create tension in the cables.  Position your feet firmly on the ground and engage your core.  Bend your elbows and bring your hands to shoulder level, keeping your elbows at a 90-degree angle.  Push the handles forward, extending your arms fully in front of you.  Pause for a moment, then slowly reverse the movement, bringing your hands back to shoulder level.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.67
155,cable cross-over variation,chest,pectorals,cable,"deltoids, triceps","Adjust the cable pulleys to chest height.  Stand in the center of the cable machine with one foot in front of the other.  Grasp the handles with your palms facing down and your arms extended out to the sides.  Take a step forward, keeping your arms slightly bent.  With a slight bend in your elbows, bring your hands together in front of your chest.  Pause for a moment, then slowly return your arms back to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.67
20,balance board,upper legs,quads,body weight,"calves, hamstrings, glutes","Place the balance board on a flat surface.  Step onto the balance board with one foot, ensuring it is centered.  Slowly shift your weight onto the foot on the balance board, keeping your core engaged.  Maintain your balance and stability as you hold the position for a desired amount of time.  Repeat the exercise with the other foot.",Strength,Beginner,0.35
24,barbell bench front squat,upper legs,quads,barbell,"hamstrings, glutes, calves","Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, just below your collarbone.  Hold the barbell with an overhand grip, keeping your elbows up and your upper arms parallel to the ground.  Lower your body down into a squat position by bending at the knees and hips, keeping your back straight and your chest up.  Pause for a moment at the bottom of the squat, then push through your heels to return to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
26,barbell bench squat,upper legs,quads,barbell,"glutes, hamstrings, calves","Set up a barbell on a squat rack at chest height.  Stand facing away from the rack, with your feet shoulder-width apart.  Bend your knees and lower your body down into a squat position, keeping your back straight and chest up.  Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.  Lift the barbell off the rack and step back, ensuring your feet are still shoulder-width apart.  Lower your body down into a squat, keeping your knees in line with your toes.  Pause for a moment at the bottom, then push through your heels to return to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
28,barbell clean and press,upper legs,quads,barbell,"hamstrings, glutes, shoulders, triceps","Stand with your feet shoulder-width apart and the barbell on the floor in front of you.  Bend your knees and hinge at the hips to lower down and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart.  Drive through your heels and extend your hips and knees to lift the barbell off the floor, keeping it close to your body.  As the barbell reaches your thighs, explosively extend your hips, shrug your shoulders, and pull the barbell up towards your chest.  As the barbell reaches chest height, quickly drop under it and catch it at shoulder level, with your elbows pointing forward and your palms facing up.  From the catch position, press the barbell overhead by extending your arms and pushing the barbell straight up.  Lower the barbell back down to the starting position and repeat for the desired number of repetitions.",Strength,Advanced,0.98
68,barbell one leg squat,upper legs,quads,barbell,"glutes, hamstrings, calves","Stand with your feet shoulder-width apart and hold a barbell across your upper back.  Lift one foot off the ground and extend it forward, keeping it parallel to the ground.  Bend your standing leg and lower your body down as if sitting back into a chair, keeping your chest up and your back straight.  Lower yourself until your thigh is parallel to the ground, then push through your heel to return to the starting position.  Repeat for the desired number of repetitions, then switch legs and repeat.",Strength,Intermediate,0.73
69,barbell overhead squat,upper legs,quads,barbell,"glutes, hamstrings, calves, core","Stand with your feet shoulder-width apart and toes slightly turned out.  Hold the barbell with a wide grip, positioning it overhead with your arms fully extended.  Engage your core and lower your body down into a squat position, keeping your chest up and knees tracking over your toes.  Pause for a moment at the bottom, then push through your heels to return to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
98,barbell side split squat,upper legs,quads,barbell,"glutes, hamstrings, calves","Stand with your feet wider than shoulder-width apart, toes pointing slightly outward.  Hold a barbell across your upper back, resting it on your traps.  Engage your core and keep your chest up as you lower your body down into a squat position, bending at the knees and hips.  As you lower, push your knees out to the sides and keep your weight on your heels.  Lower until your thighs are parallel to the ground, then push through your heels to return to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
99,barbell single leg split squat,upper legs,quads,barbell,"glutes, hamstrings, calves","Stand with your feet shoulder-width apart, holding a barbell across your upper back.  Take a large step forward with one leg, keeping your torso upright.  Lower your body by bending your front knee and hip, while keeping your back leg straight.  Continue lowering until your front thigh is parallel to the ground.  Pause for a moment, then push through your front heel to return to the starting position.  Repeat for the desired number of repetitions, then switch legs.",Strength,Intermediate,0.73
102,barbell squat (on knees),upper legs,quads,barbell,"glutes, hamstrings, calves","Start by kneeling on the ground with your knees hip-width apart and your toes pointing forward.  Place a barbell across your shoulders, gripping it with an overhand grip and your hands slightly wider than shoulder-width apart.  Engage your core and keep your chest lifted as you slowly lower your body down by bending your knees, keeping your back straight.  Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go.  Pause for a moment at the bottom, then push through your heels to return to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
50,barbell incline shoulder raise,chest,serratus anterior,barbell,"deltoids, trapezius","Set up an incline bench at a 45-degree angle.  Sit on the bench with your back against the pad and feet flat on the ground.  Hold a barbell with an overhand grip, slightly wider than shoulder-width apart.  Lift the barbell up to shoulder height, keeping your elbows slightly bent.  Slowly raise the barbell overhead, extending your arms fully.  Pause for a moment at the top, then slowly lower the barbell back to shoulder height.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
328,dumbbell incline shoulder raise,chest,serratus anterior,dumbbell,"deltoids, trapezius","Set an incline bench to a 45-degree angle and sit on it with a dumbbell in each hand, palms facing down.  Rest the dumbbells on your thighs and lean back onto the bench.  Use your thighs to help raise the dumbbells to shoulder height, then rotate your wrists so that your palms are facing forward.  Exhale and slowly raise the dumbbells above your head, keeping a slight bend in your elbows.  Pause for a moment at the top, then inhale and slowly lower the dumbbells back to shoulder height.  Repeat for the desired number of repetitions.",Strength,Beginner,0.35
759,smith incline shoulder raises,chest,serratus anterior,smith machine,"deltoids, trapezius","Adjust the smith machine to an incline position.  Stand facing the machine with your feet shoulder-width apart.  Grasp the bar with an overhand grip, slightly wider than shoulder-width apart.  Keep your back straight and core engaged.  Raise the barbell up towards the ceiling, leading with your elbows.  Pause for a moment at the top, then slowly lower the barbell back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.65
3011,incline scapula push up,chest,serratus anterior,body weight,"triceps, shoulders","Set up an incline bench at a 45-degree angle.  Place your hands on the bench slightly wider than shoulder-width apart.  Position your feet on the ground, hip-width apart.  Lower your chest towards the bench, keeping your elbows tucked in.  As you lower, retract your shoulder blades, squeezing your scapulae together.  Push through your palms to extend your arms and return to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.35
3021,scapula push-up,chest,serratus anterior,body weight,"triceps, shoulders","Start in a high plank position with your hands directly under your shoulders and your body in a straight line.  Lower your chest towards the ground, keeping your elbows close to your body.  As you lower, squeeze your shoulder blades together and push your chest forward.  Pause for a moment at the bottom, then push back up to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.35
488,hyperextension (on bench),back,spine,body weight,"glutes, hamstrings","Adjust the hyperextension bench so that your hips are resting comfortably on the pad and your feet are secured.  Cross your arms over your chest or place your hands behind your head.  Slowly lower your upper body towards the ground while keeping your back straight.  Pause for a moment at the bottom, then raise your upper body back up until it is in line with your legs.  Repeat for the desired number of repetitions.",Flexibility,Beginner,0.2
489,hyperextension,back,spine,body weight,"glutes, hamstrings","Adjust the hyperextension bench so that your upper thighs are resting on the pad and your feet are secured.  Cross your arms over your chest or place your hands behind your head.  Lower your upper body towards the ground while keeping your back straight.  Pause for a moment at the bottom, then raise your upper body back up until it is in line with your legs.  Repeat for the desired number of repetitions.",Flexibility,Beginner,0.2
573,lever back extension,back,spine,leverage machine,"glutes, hamstrings","Adjust the machine to fit your body size and range of motion.  Sit on the machine with your back against the pad and your feet secured.  Place your hands on the handles or grip bars.  Engage your core and slowly lean forward, allowing your back to round slightly.  Pause for a moment at the bottom position, feeling a stretch in your lower back.  Using your back muscles, slowly raise your torso back to the starting position.  Repeat for the desired number of repetitions.",Flexibility,Intermediate,0.52
835,weighted hyperextension (on stability ball),back,spine,weighted,"glutes, hamstrings","Position yourself face down on a stability ball with your hips resting on the ball and your feet against a wall for stability.  Place your hands behind your head or cross them over your chest.  Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line.  Pause for a moment at the top, then slowly lower your upper body back down to the starting position.  Repeat for the desired number of repetitions.",Flexibility,Intermediate,0.5
1010,band straight leg deadlift,back,spine,band,"hamstrings, glutes","Stand with your feet shoulder-width apart and place the band around your feet.  Hold the band with both hands, palms facing your body, and keep your arms straight.  Engage your core and maintain a slight bend in your knees.  Slowly hinge forward at your hips, keeping your back straight and chest lifted.  Lower the band towards the ground while keeping your legs straight.  Pause for a moment at the bottom, then squeeze your glutes and hamstrings to return to the starting position.  Repeat for the desired number of repetitions.",Flexibility,Intermediate,0.5
1314,back extension on exercise ball,back,spine,stability ball,"glutes, hamstrings","Place the stability ball on the ground and lie face down on top of it, with your hips resting on the ball and your feet against a wall or other stable surface.  Position your hands behind your head or crossed over your chest.  Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your heels.  Pause for a moment at the top, then slowly lower your upper body back down to the starting position.  Repeat for the desired number of repetitions.",Flexibility,Intermediate,0.5
1333,exercise ball back extension with arms extended,back,spine,stability ball,"glutes, hamstrings","Place the stability ball on the ground and lie face down on top of it, with your hips resting on the ball and your feet against a wall for stability.  Extend your arms straight out in front of you, with your palms facing down.  Engage your core and slowly lift your upper body off the ball, keeping your back straight and your neck in line with your spine.  Pause for a moment at the top, then slowly lower your upper body back down to the starting position.  Repeat for the desired number of repetitions.",Flexibility,Intermediate,0.5
1334,exercise ball back extension with hands behind head,back,spine,stability ball,"glutes, hamstrings","Place the stability ball on the ground and lie face down on top of it with your hips resting on the ball.  Position your feet against a wall or other stable surface for support.  Cross your arms behind your head, with your hands touching the back of your head.  Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your hips.  Pause for a moment at the top of the movement, then slowly lower your upper body back down to the starting position.  Repeat for the desired number of repetitions.",Flexibility,Intermediate,0.5
1335,exercise ball back extension with knees off ground,back,spine,stability ball,"glutes, hamstrings","Place the stability ball on the ground and lie face down on top of it, with your hips resting on the ball and your feet against a wall for stability.  Position your hands behind your head or crossed over your chest.  Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your heels.  Pause for a moment at the top, then slowly lower your upper body back down to the starting position.  Repeat for the desired number of repetitions.",Flexibility,Intermediate,0.5
1336,exercise ball back extension with rotation,back,spine,stability ball,"glutes, hamstrings","Start by lying face down on the stability ball with your hips resting on the ball and your feet firmly planted on the ground.  Place your hands behind your head or cross them over your chest.  Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your heels.  Pause for a moment at the top, then slowly rotate your torso to one side, keeping your hips and legs stable.  Return to the center and repeat the rotation to the other side.  Lower your upper body back down to the starting position and repeat for the desired number of repetitions.",Flexibility,Intermediate,0.5
95,barbell shrug,back,traps,barbell,shoulders,"Stand with your feet shoulder-width apart and hold a barbell in front of you with an overhand grip.  Keep your arms straight and your back straight throughout the exercise.  Lift your shoulders up towards your ears as high as possible, squeezing your traps at the top.  Hold for a moment, then slowly lower your shoulders back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.73
220,cable shrug,back,traps,cable,shoulders,"Stand facing the cable machine with your feet shoulder-width apart.  Grasp the cable handles with an overhand grip and let your arms hang down in front of you.  Keeping your arms straight, shrug your shoulders up towards your ears.  Hold the contraction for a moment, then slowly lower your shoulders back down to the starting position.  Repeat for the desired number of repetitions.",Strength,Intermediate,0.67
305,dumbbell decline shrug,back,traps,dumbbell,"shoulders, rhomboids","Set up a decline bench at a 45-degree angle.  Lie face down on the bench with your chest and stomach resting against it.  Hold a dumbbell in each hand with your arms fully extended towards the floor.  Keeping your arms straight, raise your shoulders towards your ears as high as possible.  Hold the contraction for a moment, then slowly lower the dumbbells back to the starting position.  Repeat for the desired number of repetitions.",Strength,Beginner,0.35
